Symbol,FDR,AUC.ctrl
Gatm,1.86e-248,0.714
Eif2s2,6.56e-248,0.713
Pin1,1.11e-246,0.713
Chchd4,4.14e-246,0.713
Ppat,1.13e-244,0.712
Taldo1,2.16e-244,0.711
Mrps12,1.68e-243,0.711
Ssbp4,3.78e-243,0.711
Polr2j,6.28e-243,0.711
Utp18,2.02e-242,0.711
Ctsg,1.60e-240,0.710
Bop1,1.18e-239,0.710
Actr3,1.92e-239,0.709
Psmd8,2.26e-239,0.709
Noc2l,7.02e-239,0.709
Tipin,9.66e-239,0.709
Canx,1.32e-238,0.709
Gar1,1.60e-238,0.709
Txnl4a,3.61e-238,0.709
Ppan,5.17e-238,0.709
Ddx21,1.03e-237,0.709
Mrps28,2.35e-237,0.709
Dnajc15,4.84e-237,0.709
Dazap1,1.95e-236,0.708
Psmc4,6.84e-236,0.708
Psma1,1.19e-235,0.708
Hdgf,8.64e-235,0.707
Ndufa8,3.90e-234,0.707
Txn1,9.24e-234,0.707
Arpc1b,1.54e-233,0.707
Gtf3a,2.26e-233,0.707
Psmb6,3.23e-233,0.707
Cisd1,3.79e-233,0.707
Ube2l3,9.65e-232,0.706
Zfp706,2.38e-231,0.706
Psmd14,3.64e-231,0.706
Pim1,3.67e-231,0.706
mt-Nd1,1.46e-230,0.705
Rnaseh2c,3.33e-230,0.705
Gsto1,1.61e-229,0.705
Mogs,3.28e-229,0.705
Ndufc2,8.63e-229,0.705
Cox6c,2.21e-228,0.704
Slc16a1,3.28e-228,0.705
Eif4a3,3.72e-228,0.705
Wdr46,6.05e-228,0.705
Elob,9.10e-228,0.704
Psmb4,1.01e-227,0.704
Eif1,3.08e-227,0.704
Sod2,6.48e-227,0.704
Mapkapk2,1.14e-226,0.704
Cox6a1,1.35e-226,0.703
Rangrf,3.28e-226,0.704
Eif1a,3.64e-226,0.704
Atic,2.71e-225,0.703
Ffar2,1.65e-224,0.703
Pum3,1.77e-224,0.703
Atp5o,1.86e-224,0.703
Pnp,1.95e-224,0.703
Mrps26,2.54e-224,0.703
Ube2i,6.52e-224,0.702
Myc,3.02e-223,0.702
Sem1,3.21e-223,0.702
Rbx1,9.69e-223,0.702
Arpc5l,3.24e-222,0.701
Ppil1,3.57e-222,0.702
Mrpl41,2.99e-221,0.702
Stip1,1.38e-220,0.701
Dph3,4.03e-220,0.701
Thyn1,4.55e-220,0.701
Ndufs5,1.91e-219,0.700
Dcun1d5,1.42e-218,0.700
Umps,1.50e-218,0.700
Calm1,3.69e-218,0.700
Cdca7,1.43e-217,0.700
Noc4l,2.78e-217,0.700
Mcm2,2.02e-215,0.699
Arhgdia,1.79e-214,0.698
Mphosph10,5.42e-214,0.698
Ywhae,8.14e-214,0.698
1110008P14Rik,1.99e-213,0.698
Vdac1,2.58e-213,0.698
Sdhd,3.36e-213,0.698
Syngr2,6.77e-213,0.698
Rbmxl1,1.08e-212,0.697
Cdc34,1.09e-212,0.698
Ly6e,4.74e-212,0.697
Ctps,5.81e-212,0.697
Gcsh,7.18e-212,0.697
Eny2,3.92e-211,0.696
Mtap,1.64e-210,0.697
Tbcb,3.83e-210,0.696
Pop5,5.92e-210,0.696
Ssr1,9.63e-210,0.696
Tomm70a,3.74e-208,0.695
Ppm1g,3.78e-208,0.695
Lman2,4.82e-208,0.695
Phb,4.94e-208,0.695
Ddx27,1.25e-207,0.695
Psmd12,3.42e-207,0.695
Eloc,5.38e-207,0.695
Serpina3g,7.56e-207,0.695
Tma16,1.50e-206,0.695
Psmd3,2.89e-206,0.695
Prelid1,3.38e-206,0.694
Chchd10,5.68e-206,0.694
Wdr77,5.91e-206,0.694
Slc25a4,7.23e-206,0.694
Ap3s1,4.99e-204,0.694
Mrps16,6.42e-204,0.693
Eprs,3.66e-203,0.693
Nudt5,3.93e-203,0.693
Gps1,5.25e-203,0.693
Hells,6.31e-203,0.693
Arf1,8.59e-203,0.693
Them6,1.78e-202,0.693
Mrpl54,9.43e-202,0.692
Exosc7,1.56e-201,0.692
Sec11a,2.98e-201,0.692
Slc7a5,2.46e-200,0.692
Trmt61a,2.59e-200,0.692
Cenpx,6.12e-200,0.691
Bccip,9.23e-200,0.691
Eif4e2,9.71e-200,0.691
Rpn1,1.05e-199,0.691
Il4ra,5.13e-199,0.691
Gpx1,1.08e-198,0.691
Tmem238,2.35e-198,0.691
Mrpl34,3.38e-198,0.690
